ANO_ELEICAO,NM_UE,DS_CARGO,NM_CANDIDATO,SG_PARTIDO,NR_IDADE_DATA_POSSE,CD_GENERO,DS_GENERO,DS_COR_RACA,VR_DESPESA_MAX_CAMPANHA
2020,GAMELEIRA,VEREADOR,ANDREIA LÚCIA DE FREITAS PEIXOTO,PP,52,4,FEMININO,BRANCA,12307.75
2020,CABO DE SANTO AGOSTINHO,VEREADOR,MIZAEL JOSÉ DA SILVA,PDT,40,2,MASCULINO,PARDA,109902.99
2020,TUPARETAMA,VEREADOR,CARLOS ANTONIO NOGUEIRA,PSB,53,2,MASCULINO,PARDA,12307.75
2020,GRAVATÁ,VEREADOR,JOSÉ SOARES DA SILVA,PTC,43,2,MASCULINO,BRANCA,134612.46
2020,SERRITA,VEREADOR,MARIA ZULEIDE DOMINGOS,PSD,48,4,FEMININO,PARDA,12307.75
2020,GRAVATÁ,VEREADOR,AMARO JOÃO DOS SANTOS,PV,49,2,MASCULINO,PARDA,134612.46
2020,RECIFE,VICE-PREFEITO,ROSALY DE ALMEIDA SILVA,PSL,56,4,FEMININO,BRANCA,-1
2020,POMBOS,VEREADOR,MARIA LIDIA DA SILVA,PSC,50,4,FEMININO,BRANCA,12307.75
2020,PAUDALHO,VEREADOR,CRISTOVAM PEREIRA DA SILVA FILHO,PODE,54,2,MASCULINO,PARDA,17845.22
2020,CHÃ DE ALEGRIA,VEREADOR,JOSE DIONISIO PEREIRA,PSB,40,2,MASCULINO,BRANCA,15585.59
2020,FLORES,VEREADOR,AURICIA MARQUES NUNES,PSB,50,4,FEMININO,BRANCA,12307.75
2020,ARAÇOIABA,VEREADOR,OZIEL PACHECO DE LIMA,PSL,41,2,MASCULINO,PARDA,12307.75
2020,SÃO LOURENÇO DA MATA,PREFEITO,MARIA LUCIA CABRAL DA SILVA CARVALHO,PT,62,4,FEMININO,BRANCA,420820.27
2020,LAJEDO,VEREADOR,MARÍLIA DO SOCORRO DE OLIVEIRA,PSD,29,4,FEMININO,PARDA,19050.54
2020,MIRANDIBA,VEREADOR,CRISTINA EDILEUZA DA SILVA NASCIMENTO,PT,40,4,FEMININO,PRETA,12307.75
2020,GAMELEIRA,VEREADOR,JOSE AMARO DA SILVA,CIDADANIA,43,2,MASCULINO,PARDA,12307.75
2020,ILHA DE ITAMARACÁ,VEREADOR,FLAVIO DA SILVA GOMES,PSL,37,2,MASCULINO,PARDA,29696.26
2020,CARPINA,VEREADOR,GLAUBER FERREIRA SALES,MDB,42,2,MASCULINO,BRANCA,49954.88
2020,SÃO BENTO DO UNA,VEREADOR,TELMA CARINE BATISTA BEZERRA,MDB,36,4,FEMININO,PARDA,17226.56
2020,ESCADA,VEREADOR,ROSILENE BATISTA DA SILVA,PDT,38,4,FEMININO,BRANCA,12307.75
2020,JABOATÃO DOS GUARARAPES,VEREADOR,ALEXANDRE MARQUES DE ANDRADE,PATRIOTA,58,2,MASCULINO,BRANCA,138639.74
2020,ILHA DE ITAMARACÁ,VEREADOR,MARICLEIDE LUCIA DE SOUZA,PSB,46,4,FEMININO,PARDA,29696.26
2020,RECIFE,VEREADOR,NELSON FERNANDES CRISTOVAM,AVANTE,53,2,MASCULINO,PRETA,1011149.65
2020,LAGOA GRANDE,VEREADOR,INALDO TORRES DA SILVA,MDB,34,2,MASCULINO,PARDA,12307.75
2020,CALUMBI,VEREADOR,JOSÉ EDMILSON DE SÁ DOS SANTOS,PT,45,2,MASCULINO,PARDA,12307.75
2020,ESCADA,VEREADOR,GILSON RAMOS CORDEIRO,PSL,79,2,MASCULINO,PARDA,12307.75
2020,ÁGUAS BELAS,VEREADOR,FABIO JUNIOR PEREIRA TAVARES,PT,32,2,MASCULINO,PARDA,48405.01
2020,SERRA TALHADA,VEREADOR,MICHEL WELLINTON DE OLIVEIRA SILVA,PATRIOTA,32,2,MASCULINO,PARDA,34956.84
2020,RECIFE,VEREADOR,SANDRA HELENA BARBOSA DE QUEIROZ,PSC,57,4,FEMININO,BRANCA,1011149.65
2020,CARUARU,VEREADOR,AUGUSTO CÉSAR RABELO VERAS,PSL,46,2,MASCULINO,BRANCA,149376.8
2020,IPOJUCA,VEREADOR,ADRIANO HENRIQUE DE OLIVEIRA,MDB,35,2,MASCULINO,PARDA,106601.98
2020,CORTÊS,VEREADOR,LETICIA NASCIMENTO BORBA,REPUBLICANOS,21,4,FEMININO,BRANCA,12307.75
2020,JABOATÃO DOS GUARARAPES,VEREADOR,MANOEL VALDEMIR DE OLIVEIRA SOARES,PTB,58,2,MASCULINO,PARDA,138639.74
2020,MORENO,VEREADOR,LEA GOMES DA SILVA,PTB,47,4,FEMININO,BRANCA,28106.48
2020,OURICURI,VEREADOR,GLEISE IARA PEREIRA DE OLIVEIRA,DEM,27,4,FEMININO,PARDA,26120.37
2020,OLINDA,VEREADOR,ANDERSON AGUIAR MOREIRA,PDT,35,2,MASCULINO,PARDA,105385.98
2020,ILHA DE ITAMARACÁ,VEREADOR,WALTER FERNANDES DA SILVA,DC,55,2,MASCULINO,BRANCA,29696.26
2020,RECIFE,VEREADOR,KARLA FERNANDA FALCÃO RODRIGUES DE FRAGA,CIDADANIA,28,4,FEMININO,PARDA,1011149.65
2020,SÃO JOÃO,VEREADOR,RENATA ANDRADE CAVALCANTI DO ESPIRITO SANTO,PP,41,4,FEMININO,PARDA,12307.75
2020,OLINDA,VEREADOR,EDMILSON FERNANDES DA SILVA,PSD,57,2,MASCULINO,PRETA,105385.98
2020,SÃO JOAQUIM DO MONTE,VEREADOR,JÉSSICA SÔNIA MARQUES,PP,24,4,FEMININO,BRANCA,12307.75
2020,SERRITA,VEREADOR,FLORIDO COELHO SAMPAIO,PSD,48,2,MASCULINO,PARDA,12307.75
2020,TEREZINHA,VEREADOR,CIBELLE DA SILVA CALADO,PSB,33,4,FEMININO,BRANCA,12307.75
2020,BREJO DA MADRE DE DEUS,VEREADOR,EDILEUZA MARIA MARCOS SÁ BARRETO,PL,47,4,FEMININO,BRANCA,33788.4
2020,JABOATÃO DOS GUARARAPES,VEREADOR,AMARO CRISTOVAM DOS SANTOS,PMB,62,2,MASCULINO,PARDA,138639.74
2020,BONITO,VEREADOR,JOSÉ HERÁCLIO DO RÊGO JÚNIOR,PTB,34,2,MASCULINO,BRANCA,27363.24
2020,PALMARES,VEREADOR,DANIEL HELENO DA SILVA,PSC,50,2,MASCULINO,BRANCA,26666.5
2020,MOREILÂNDIA,VEREADOR,ELIEZIA SANTOS SARAIVA ALVES,PSB,34,4,FEMININO,PARDA,12307.75
2020,SERRA TALHADA,VEREADOR,JENYFFER MARQUES GONÇALO MENEZES,PSL,28,4,FEMININO,PARDA,34956.84
2020,CARUARU,VEREADOR,ROGÉRIO MENESES SOBRINHO,PDT,58,2,MASCULINO,SEM INFORMAÇÃO,149376.8
2020,CASINHAS,VEREADOR,SAULO AGUIAR DE PAULA,PMN,19,2,MASCULINO,BRANCA,12307.75
2020,JAQUEIRA,VEREADOR,ERINEA PALMEIRA DA SILVA,PSD,43,4,FEMININO,PARDA,12307.75
2020,BONITO,VEREADOR,SILVIO CESAR ALVES DE LIMA,PSB,41,2,MASCULINO,PARDA,27363.24
2020,ABREU E LIMA,VEREADOR,ALEXANDRE JOSE AMARO,MDB,54,2,MASCULINO,BRANCA,28533.15
2020,OLINDA,VEREADOR,SANDRO FILIPE FERREIRA DA SILVA,PATRIOTA,34,2,MASCULINO,PARDA,105385.98
2020,CARNAUBEIRA DA PENHA,PREFEITO,MANOEL JOSE DA SILVA,PL,53,2,MASCULINO,INDÍGENA,123077.42
2020,CEDRO,VEREADOR,CICERA LEITE SUBRINHO,REPUBLICANOS,29,4,FEMININO,BRANCA,27753.95
2020,SIRINHAÉM,VEREADOR,GEAZE JOSÉ DA SILVA,PTC,31,2,MASCULINO,PARDA,15268
2020,PARNAMIRIM,VEREADOR,MARIA DO SOCORRO LUSTOSA BATISTA,PTB,45,4,FEMININO,BRANCA,12307.75
2020,CAMARAGIBE,VEREADOR,JULIO CESAR DA COSTA,CIDADANIA,54,2,MASCULINO,BRANCA,24175.84
2020,CALUMBI,VEREADOR,CICERO GRAUFIMON DOS SANTOS,PSL,37,2,MASCULINO,PARDA,12307.75
2020,IGARASSU,VEREADOR,MARIA ANA DE OLIVEIRA,CIDADANIA,49,4,FEMININO,PRETA,39466.41
2020,JATOBÁ,VICE-PREFEITO,PAULA JEANE DE SOUZA DALTRO ALENCAR,MDB,50,4,FEMININO,BRANCA,-1
2020,RIO FORMOSO,PREFEITO,ISABEL CRISTINA ARAUJO HACKER,PSB,55,4,FEMININO,BRANCA,123077.42
