data,descricao
2021-09-03,"MINISTÉRIO DA DEFESA
Comando da Aeronáutica
GRUPAMENTO DE APOIO DE SÃO JOSÉ DOS CAMPOS
Código da UASG: 120016
Tomada de preço Nº 8/2021
Objeto:
 Objeto: O objeto da presente licitação é a escolha da proposta mais vantajosa para a Contratação de serviços de engenharia para manutenção e conservação dos PNR´s H 26A 104, 27B 115 E 27C 117, conforme condições, quantidades e exigências estabelecidas no Edital e seus anexos.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
Edital a partir de:
 03/09/2021 das 08:00 às 17:00 Hs 
Endereço:
 Praça Marechal do Ar Eduardo Gomes, 50 - Vila Das Acácias                            -                                          - São José dos Campos                      (SP)
Telefone:
          
Fax:
                
Entrega da Proposta:
 21/09/2021 às 08:30Hs




Histórico de eventos publicados..."
2021-09-03,"MINISTÉRIO DA EDUCAÇÃO
Universidade Federal de Santa Maria
Código da UASG: 153164
Tomada de preço Nº 18/2021
Objeto:
 Objeto: ReFORMA DA COBERTURA DOS PRÉDIOS 74 ABC - CCSH    CAMPUS DA UFSM EM SANTA MARIA/RS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
Edital a partir de:
 03/09/2021 das 08:00 às 12:00 Hs e das 13:00 às 17:00 Hs
Endereço:
 Av. Roraima, 1.000 Campus Universitário, Camobi                                      -                                          - Santa Maria                              (RS)
Telefone:
 (0xx55) 32208189
Fax:
 (0xx55)               
Entrega da Proposta:
 23/09/2021 às 10:30Hs




Histórico de eventos publicados..."
2021-09-03,"MINISTÉRIO DA EDUCAÇÃO
Universidade Federal de Sergipe
Código da UASG: 154050
Concorrência Nº 5/2021
Objeto:
 Objeto: Escolha da proposta mais vantajosa para a contratação de Empresa especializada, sob o regime de Empreitada por Preço Global, visando à execução da obra do SISTEMA DE VIGILÂNCIA, GUARITA, CERCAMENTO, LABORATÓRIOS 03 E 04 NO CAMPUS UNIVERSITÁRIO DO SERTÃO, localizado na Fazenda Experimental, SE-106 e SE-414, no município de Nossa Senhora da Glória, Estado de Sergipe, consoante Memorial Descritivo, Especificações Técnicas, Projetos, Localização, e demais Elementos Técnicos.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
Edital a partir de:
 03/09/2021 das 08:00 às 12:00 Hs e das 14:00 às 17:00 Hs
Endereço:
 Av. Marechal Rondon, S/n,                                                            - Bairro Jardim Rosa Elze                  - São Cristovão                            (SE)
Telefone:
 (0xx79) 31946960
Fax:
 (0xx79)               
Entrega da Proposta:
 07/10/2021 às 09:00Hs




Histórico de eventos publicados..."
2021-09-03,"MINISTÉRIO DA EDUCAÇÃO
Fundação Universidade Federal do Pampa - UNIPAMPA
Código da UASG: 154359
Tomada de preço Nº 2/2021
Objeto:
 Objeto: A presente licitação tem como objeto a contratação de empresa especializada para a execução, sob o regime de empreitada a preços unitários, dos serviços necessários da Reforma Elétrica e Civil no Campus Alegrete da UNIPAMPA, na cidade de Alegrete/RS, conforme projeto básico   anexo 12 do Edital                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
Edital a partir de:
 03/09/2021 das 08:00 às 12:00 Hs e das 13:30 às 17:30 Hs
Endereço:
 Rua General Osório Nº 900                                                            - Centro                                   - Bagé                                     (RS)
Telefone:
          
Fax:
                
Entrega da Proposta:
 22/09/2021 às 14:30Hs




Histórico de eventos publicados..."
2021-09-03,"MINISTÉRIO DA EDUCAÇÃO
Secretaria Executiva
Subsecretaria de Planejamento e Orçamento
INSTITUTO FEDERAL DE EDUCAÇÃO CIENCIA E TECNOLOGIA DO PARÁ
Campus Belém
Código da UASG: 158306
Tomada de preço Nº 3/2021
Objeto:
 Objeto: CONTRATAÇÃO DE SERVIÇO DE REVISÃO ELÉTRICA EM MÉDIA TENSÃO COM INSTALAÇÃO DE REDE AÉREA COMPACTA NO INSTITUTO DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO PARÁ, IFPA-CAMPUS BELÉM, conforme condições, quantidades e exigências estabelecidas no Edital e seus anexos.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
Edital a partir de:
 03/09/2021 das 09:00 às 12:00 Hs e das 13:00 às 17:00 Hs
Endereço:
 Av. Almirante Barroso Nº 1155                                                        - Marco                                    - Belém                                    (PA)
Telefone:
 (0xx91) 91712653
Fax:
 (0xx91)               
Entrega da Proposta:
 22/09/2021 às 10:00Hs




Histórico de eventos publicados..."
2021-09-03,"MINISTÉRIO DA DEFESA
Comando do Exército
COMANDO MILITAR DO OESTE/9ª DIVISÃO DE EXÉRCITO
9º Grupamento Logístico
Código da UASG: 160136
Pregão Presencial Nº 3/2021
Objeto:
 Objeto: Contratação de serviços de alimentação (cantina) em um espaço em imóvel sob jurisdição do Exército Brasileiro de área de 24,00 m  (vinte e quatro metros quadrados)situada nas dependências do 9º Grupamento Logístico.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
Edital a partir de:
 03/09/2021 das 08:00 às 11:30 Hs e das 13:00 às 17:00 Hs
Endereço:
 Av. Duque de Caxias, Nr. 1127                                                        - Vila Alba                                - Campo Grande                             (MS)
Telefone:
 (0xx67) 33684131
Fax:
 (0xx67)               
Entrega da Proposta:
 16/09/2021 às 09:00Hs




Histórico de eventos publicados..."
2021-09-03,"MINISTÉRIO DA DEFESA
Comando do Exército
Comando Militar do Leste
1ª Região Militar
Comissão Regional de Obras/1
Código da UASG: 160301
Concorrência Nº 3/2021
Objeto:
 Objeto: Obra Construção do Prédio de Subseção de Rastreamento de Engenhos de Voo (STREV) do CAEx                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
Edital a partir de:
 03/09/2021 das 09:30 às 11:30 Hs e das 13:30 às 15:30 Hs
Endereço:
 Praca Duque de Caxias,25-centro-ala Marcilio Dias 5 Andar                            - Centro                                   - Rio de Janeiro                           (RJ)
Telefone:
 (0xx21) 25195753
Fax:
 (0xx21)               
Entrega da Proposta:
 07/10/2021 às 10:00Hs




Histórico de eventos publicados..."
2021-09-03,"MINISTÉRIO DA DEFESA
Comando do Exército
Comando Militar do Sul
COMANDO DA 3ª DIVISÃO DO EXÉRCITO - BASE ADMINISTRATIVA DA GUARNIÇÃO DE SAN
TA MARIA
Código da UASG: 160413
Tomada de preço Nº 2/2021
Objeto:
 Objeto: Escolha da proposta mais vantajosa para a contratação de serviço de CONSTRUÇÃO DA REDE INTERNA DE ABASTECIMENTO D´ÁGUA COM RESERVATÓRIO E ELEVATÓRIA, DO CENTRO DE ADESTRAMENTO SUL, conforme condições, quantidades e exigências estabelecidas neste Edital e seus anexos.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
Edital a partir de:
 03/09/2021 das 08:00 às 12:00 Hs e das 13:30 às 16:00 Hs
Endereço:
 Av Borges de Medeiros Nº 1515                                                        - Noal                                     - Santa Maria                              (RS)
Telefone:
 (0xx55) 39221053
Fax:
 (0xx55)               
Entrega da Proposta:
 22/09/2021 às 14:00Hs




Histórico de eventos publicados..."
2021-09-03,"MINISTÉRIO DA ECONOMIA
Secretaria da Receita Federal
Superintendências Regionais da Receita Federal
10ª Região Fiscal
Delegacia da Receita Federal em Santa Maria
Código da UASG: 170183
Tomada de preço Nº 2/2021
Objeto:
 Objeto: Contratação de pessoa jurídica para a execução de reforma a ser realizada no Depósito de Mercadorias e Veículos Apreendidos (DMVA) da Delegacia da Receita Federal do Brasil em Santa Maria/RS, com elaboração concomitante do projeto executivo, conforme condições, quantidades e exigências estabelecidas no Edital e seus anexos.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
Edital a partir de:
 03/09/2021 das 09:00 às 12:00 Hs e das 14:00 às 17:00 Hs
Endereço:
 Rua Riachuelo, 80                                                                    - Centro                                   - Santa Maria                              (RS)
Telefone:
 (0xx55) 33043177
Fax:
 (0xx55)               
Entrega da Proposta:
 22/09/2021 às 10:00Hs




Histórico de eventos publicados..."
2021-09-03,"MINISTÉRIO PÚBLICO DA UNIÃO
Procuradoria Regional do Trabalho 6ª Região
Código da UASG: 200091
Tomada de preço Nº 2/2021
Objeto:
 Objeto: Contratação de empresa especializada na elaboração do projeto básico completo e serviços complementares da reforma e ampliação do Anexo I da Sede da Procuradoria Regional do Trabalho da 6ª Região, em imóvel situado Rua Quarenta e Oito, nº 600, Aflitos, Recife/PE, CEP 52050-355.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
Edital a partir de:
 03/09/2021 das 08:00 às 15:00 Hs 
Endereço:
 Rua Conselheiro Portela, 531                                                         - Aflitos                                  - Recife                                   (PE)
Telefone:
 (0xx81) 21013200
Fax:
 (0xx81)               
Entrega da Proposta:
 20/09/2021 às 10:00Hs




Histórico de eventos publicados..."
